N,E,Elev (m),Acc (m),aquifer,depth (ft),As tested results?,water temp ©,pH,EC (uS/cm),TDS (mg/L),turb (NTU),TLF1 (ppb),TLF2 (ppb),TLF3 (ppb),CDOM1 (ppb),CDOM2 (ppb),CDOM3 (ppb),TLF_Avg (ppb),CDOM_Avg (ppb),TLF:CDOM,E.coli (MPN/100mL),DOC (mg/L)
-2.2817533434220993,-0.7349567368981613,0.41231981842717463,2.4494897427831783,deep,unknown,safe,0.08815192854425204,-2.359154412880813,1.4261436912156995,1.6131660929675133,-0.4971389400723054,-0.5046189450986753,-0.5057239076851592,-0.503080428901982,-0.5628711360977013,-0.5636747088251226,-0.5601411966795338,-0.5044563549123319,-0.5624642348963311,0.0016638405379231207,0.04062034227727482,-0.4535668981935027
-0.7217349576851114,-0.3016951539692193,-0.0358538972545369,2.4494897427831783,shallow,280,unknown,-2.1156462850620494,-1.7444146057230292,-0.050255063452727185,-0.03357022021607962,3.192122220767686,-0.6196536590269447,-0.6142337980292997,-0.6107199964659257,-0.6579330254058979,-0.6575891016317141,-0.6524596945854307,-0.6154021988675993,-0.656236058289688,2.247848566734264,-0.45262667108963345,-0.4374555420485218
-0.8079133927037535,-0.30371032412278637,-0.0358538972545369,-0.6123724356957946,shallow,250,safe,-0.18732284815653932,-0.6234184867882475,0.019751990113260873,0.009300403557459563,-0.5317061230103293,-0.6528859097173337,-0.6489908722801571,-0.6460392295728447,-0.6691938001724336,-0.6693611007300334,-0.6638061021492839,-0.6492787924417268,-0.6674365816394501,2.7885967415593083,-0.45262667108963345,-0.6146804596433119
-0.41539263758267897,-1.5180518584144982,-0.8201578996975322,-0.6123724356957946,deep,700,safe,1.4655258120481893,-0.5872573216613198,-1.1641172907258586,-1.1431628355312113,0.483312066897096,-0.5957946072492296,-0.5955836606264004,-0.5896966434260928,-0.614723075720354,-0.6170411047375033,-0.6119736494144089,-0.5933824130444164,-0.614559692337085,-0.1647202132543983,-0.2821663061760696,-0.653347714391266
0.08972621876676079,-1.6103466514295413,0.1882329605863189,-0.6123724356957946,deep,669,safe,1.7410005887489806,-0.985030138057531,-0.6240628775025222,-0.6362807544440716,-0.38086750655349816,-0.4083306289957534,-0.4090822865974093,-0.4097367414051245,-0.5015915710891118,-0.5016755135739743,-0.4995410653725903,-0.4087549780654218,-0.5009915951162415,0.0016638405379231207,-0.45262667108963345,-0.4374555420485218
-0.41790879626957805,-1.5031395992810346,-0.9322013286179601,-0.6123724356957946,shallow,50,unknown,1.4655258120481893,-0.6957408170421029,-0.9890996568108885,-0.979245744632385,-0.30230572714889875,-0.06578281418712886,-0.06659794519871619,-0.07252215864620715,0.11644164865563791,0.11936283885735821,0.11135983278123615,-0.06829521264544092,0.115818620982284,-0.9550444687679255,-0.45262667108963345,-0.4374555420485218
-0.3782792969544214,-1.5051547694346015,0.6364066762680304,-0.6123724356957946,shallow,unknown,safe,-0.7382724015581122,0.3167718065118921,-1.4066417262937458,-1.3600377557973506,-0.5788431906530889,-0.18081752811539836,-0.18104197017105172,-0.1868891991828973,0.013523404859160548,0.01655404673203654,0.012078766597520215,-0.1826287159581211,0.013972001685610226,-1.0382364956640864,-0.45262667108963345,0.1264419230258102
-0.3757631382678084,-1.508782075710289,1.1966238208701698,0.4082482904638631,shallow,60,unknown,-0.4627976248573209,-0.044839844757391396,-1.3816392071630357,-1.337845903491048,-0.033624441585168516,-0.022325255592004864,-0.01573393409990035,-0.015338638377862007,0.05280517730056413,0.062595643205463,0.05978525294553953,-0.018327237123602947,0.05851361779745478,-0.7886604149756038,3.174189603667045,0.4422245034674359
1.7302616824773687,0.8759702835349034,-0.8201578996975322,-0.6123724356957946,shallow,95,unsafe,-0.4627976248573209,0.5698999624003925,2.3387356394866154,2.339444895719236,-0.5379910653626971,3.234435312066112,3.286188119731559,3.329897297320326,2.6375458039449193,2.7024010410085704,2.643929575613118,3.28379372151447,2.661723626111925,-0.41429629394288053,0.04062034227727482,3.3938249492279393
1.747874793283946,0.9037796316489969,-1.9405921889018112,-0.6123724356957946,shallow,180,safe,0.3636267052450434,-0.044839844757391396,2.5012520138362304,2.488231178227401,-0.41386345390342993,-0.37424626931330324,-0.3692388112366702,-0.3660081670822723,-0.44319266939289176,-0.44281551808237796,-0.44177753595661007,-0.3697968954551752,-0.4426446827825972,-0.24791224015055913,-0.2821663061760696,-0.054005265797976015
1.5755179232469478,1.138345437476549,0.1882329605863189,0.4082482904638631,deep,700,unknown,2.0164753654497622,-0.2618068355189609,-0.6753180417204777,-0.6867167824129412,0.005656448117131225,-0.5668229015191468,-0.5616743198938566,-0.5535364761975806,-0.6013672730902768,-0.6010835059597815,-0.5962434025645215,-0.5603527343096423,-0.5997124869664702,0.04325985398600354,-0.39822442696828325,-0.4374555420485218
0.5973612338028136,1.1774397384476856,0.6364066762680304,2.4494897427831783,shallow,250,unknown,-1.289221954959685,0.24444947625803667,0.39353965111737566,0.39513601751931215,-0.3400153812631065,-0.6503295827411499,-0.6439044711702755,-0.6409936248432848,-0.6602899317523822,-0.6604667014113033,-0.6555541693755725,-0.6450442182449608,-0.6588408311617258,0.6256040422591289,-0.45262667108963345,-0.724237681429182
1.480532932824874,1.256031374420672,2.092971252233593,-0.6123724356957946,shallow,120,unknown,-0.7382724015581122,0.46141646701960615,-1.177868676247749,-1.1456846369296547,-0.41543468949152196,1.3742813823963924,1.3448783627934224,1.318382878469128,1.889882735143538,1.898242702603382,1.8713423696743832,1.34605256907438,1.8868036966807105,-0.9550444687679255,-0.2821663061760696,1.9438028961796574
